,winner,film,runtime,earnings_ratio,new_rating_score,release_month,genre_1,genre_2,genre_3
350,0,Children of a Lesser God,119,1,-3.08,9,18,10749,0
351,0,Hannah and Her Sisters,107,626.3131406,-2.14,2,35,18,0
352,0,The Mission,126,70.2776449,-1.47,9,12,18,28
354,0,A Room with a View,117,698.8881333,-2.42,12,18,10749,0
355,0,Broadcast News,133,256.24702,0,12,35,18,10749
356,0,Fatal Attraction,119,2286.75495,-3.53,9,10749,18,53
357,0,Hope and Glory,113,90,-4.53,8,18,10752,0
359,0,Moonstruck,102,1,-4,12,35,18,10749
360,0,The Accidental Tourist,121,1,-4.1,12,18,10749,0
361,0,Dangerous Liaisons,119,247.648,-3.96,12,18,10749,0
362,0,Mississippi Burning,128,230.6933333,-3.78,12,53,80,18
364,0,Working Girl,114,368.4772679,-3.76,12,35,18,10749
365,0,Born on the Fourth of July,145,1150.012129,-3.38,12,18,10752,0
366,0,Dead Poets Society,128,1438.171439,7.63,6,18,0,0
368,0,Field of Dreams,107,1,-3.63,4,18,14,0
369,0,My Left Foot,103,2285.159335,-4.42,7,0,0,0
370,0,Awakenings,120,1,-2.91,12,18,0,0
372,0,Ghost,127,2295.454545,0.578,7,14,18,53
373,0,"The Godfather, Part III",162,253.2704852,0.897,12,0,0,0
374,0,Good Fellas,145,187.345576,7.86,9,0,0,0
375,0,Beauty and the Beast,84,1509.402212,6.63,11,10749,10751,16
376,0,Bugsy,134,163.7133867,-4.14,12,18,80,0
377,0,JFK,189,513.513745,-3.35,12,18,53,36
378,0,The Prince of Tides,132,249.2919967,-4.34,12,18,10749,0
380,0,The Crying Game,112,1687.985577,-4.21,9,10749,80,18
381,0,A Few Good Men,138,608.100445,-1.85,12,18,0,0
382,0,Howards End,140,326.5854625,-4.47,3,18,10749,0
383,0,Scent of a Woman,157,432.5653323,-2.35,12,18,0,0
385,0,The Fugitive,131,838.354,-0.885,8,12,28,53
386,0,In the Name of the Father,133,506.1297077,-3.79,12,18,0,0
387,0,The Piano,121,1667.142857,-3.89,5,18,10749,0
388,0,The Remains of the Day,134,202.0687913,-4.12,11,18,10749,0
391,0,Four Weddings and a Funeral,117,4245.013867,-2.21,3,35,18,10749
392,0,Pulp Fiction,154,2677.2386,30,9,53,80,0
393,0,Quiz Show,133,1,-4.18,8,36,18,0
394,0,The Shawshank Redemption,142,113.365876,25.5,9,18,80,0
395,0,Apollo 13,140,683.1498712,0.693,6,18,0,0
396,0,Babe,89,847.1163667,-1.59,7,14,18,35
398,0,The Postman (Il Postino),0,1,0,0,0,0,0
399,0,Sense and Sensibility,136,841.14235,-3.63,12,18,10749,0
401,0,Fargo,98,865.8853571,2.94,3,80,18,53
402,0,Jerry Maguire,139,547.105184,-1.72,12,35,18,10749
403,0,Secrets & Lies,142,298.1620444,-4.76,5,18,0,0
404,0,Shine,105,652.5878182,-4.49,8,18,0,0
405,0,As Good as It Gets,139,628.356022,0,12,35,10749,0
406,0,The Full Monty,91,7367.146343,-5.35,8,35,0,0
407,0,Good Will Hunting,127,2259.33435,5.05,12,18,0,0
408,0,L.A. Confidential,138,360.6198286,-2.86,9,80,18,9648
410,0,Elizabeth,124,273.8354733,-5.68,9,18,36,0
411,0,Life Is Beautiful,116,1147,8.13,12,0,0,0
412,0,Saving Private Ryan,169,688.3441557,10.2,7,18,36,10752
414,0,The Thin Red Line,171,188.7049327,-4.45,12,18,36,10752
416,0,The Cider House Rules,126,368.9378833,-5.83,12,18,0,0
417,0,The Green Mile,189,478.00229,10.6,12,14,18,80
418,0,The Insider,157,66.98879111,-5.54,10,18,53,0
419,0,The Sixth Sense,107,1682.01573,5.38,8,9648,53,18
420,0,Chocolat,121,610.001372,-3.37,12,35,18,10749
421,0,"Crouching Tiger, Hidden Dragon",120,1256.033741,-4.05,7,0,0,0
422,0,Erin Brockovich,131,492.8293962,-4.2,3,18,0,0
424,0,Traffic,147,432.3244271,-5.08,12,53,18,80
426,0,Gosford Park,131,443.2022424,-5.95,11,18,9648,53
427,0,In the Bedroom,130,0,-6.38,11,18,53,0
428,0,The Lord of the Rings: The Fellowship of the Ring,178,936.9552301,23.2,12,12,14,28
429,0,Moulin Rouge,127,341.3589219,-2.24,3,18,10402,0
431,0,Gangs of New York,167,193.772504,-0.253,12,18,36,80
432,0,The Hours,114,166.39132,-5.51,12,18,0,0
433,0,The Lord of the Rings: The Two Towers,179,1172.515696,18.9,12,12,14,28
434,0,The Pianist,150,343.0645057,1.22,9,18,10752,0
436,0,Lost in Translation,102,2993.0964,-0.265,8,18,0,0
437,0,Master and Commander: The Far Side of the World,138,141.3407407,-4.11,11,12,0,0
438,0,Mystic River,138,627.28808,-0.964,10,53,80,18
439,0,Seabiscuit,141,170.5016609,-6.08,7,18,36,0
440,0,The Aviator,170,92.72727273,-1.74,12,18,12,10749
441,0,Finding Neverland,106,467.066224,-2.85,10,18,0,0
443,0,Ray,152,311.828835,-5.51,10,18,10402,0
444,0,Sideways,127,684.3893938,-5.46,10,35,18,10749
445,0,Brokeback Mountain,134,1271.74115,-0.535,9,18,10749,0
446,0,Capote,114,701.2118571,-5.64,9,80,18,0
448,0,"Good Night, and Good Luck.",93,780,-6.07,9,18,36,0
449,0,Munich,164,186.2270157,-4.57,12,18,28,36
450,0,Babel,143,541.320728,-3.34,9,18,0,0
452,0,Letters from Iwo Jima,141,361.4380421,-5.32,12,28,12,18
453,0,Little Miss Sunshine,102,1256.539762,-0.324,7,35,18,0
454,0,The Queen,103,822.5608533,-5.7,9,18,0,0
455,0,Atonement,123,430.88687,0,8,18,10749,0
456,0,Juno,96,3085.487787,-1.83,12,35,18,10749
457,0,Michael Clayton,119,371.96734,-7.05,7,18,9648,80
459,0,There Will Be Blood,158,308.834844,-4.16,12,18,0,0
460,0,The Curious Case of Benjamin Button,166,222.6213887,2.78,12,14,18,53
461,0,Frost/Nixon,122,74.372624,-8.06,10,18,36,0
462,0,Milk,129,272.93292,-7,11,36,18,0
463,0,The Reader,124,353.1852813,-6.47,12,18,10749,0
465,0,Avatar,162,1176.356577,22.3,12,28,12,14
466,0,The Blind Side,129,1066.235548,-4.08,11,18,0,0
467,0,District 9,112,702.7320367,0.21,8,878,0,0
468,0,An Education,100,347.9580267,-7.32,10,18,10749,0
470,0,Inglourious Basterds,153,459.2224129,13.5,8,18,28,53
471,0,Precious: Based on the Novel 'Push' by Sapphire,110,475.36959,-7.49,11,0,0,0
472,0,A Serious Man,105,449.0047714,-6.78,9,35,18,0
473,0,Up,96,420.0566183,12.8,5,16,35,10751
474,0,Up in the Air,110,654.68,-5.17,9,18,10749,0
475,0,Black Swan,108,2521.567162,5.46,12,18,53,0
476,0,The Fighter,116,374.468036,-4.97,12,18,0,0
477,0,Inception,148,515.9579775,32.4,7,28,53,878
478,0,The Kids Are All Right,106,991.5957143,-6.82,7,35,18,0
480,0,127 Hours,94,198.294,-1.31,11,12,18,53
481,0,The Social Network,121,562.3007875,1.74,10,18,0,0
482,0,Toy Story 3,103,533.4848515,6.1,6,16,10751,35
483,0,1 Grit,110,663.88665,-4.05,12,37,0,0
484,0,Winter's Bone,101,691.57515,-6.99,6,18,0,0
486,0,The Descendants,115,886.215925,-5.94,9,35,18,0
487,0,Extremely Loud & Incredibly Close,129,138.1197025,-6.61,12,18,0,0
488,0,The Help,146,497.088496,-2.42,8,18,0,0
489,0,Hugo,126,109.2765647,-1.82,11,12,18,10751
490,0,Midnight in Paris,94,503.73073,-2.1,5,14,35,10749
491,0,Moneyball,134,220.412432,-4.96,9,18,0,0
492,0,The Tree of Life,139,170.8569563,-5.43,5,18,14,0
493,0,War Horse,146,269.0679985,-5.7,12,18,10752,0
494,0,Amour,127,335.3343034,-8.18,7,18,10749,0
496,0,Beasts of the Southern Wild,93,1172.652556,-7.53,6,18,14,0
497,0,Django Unchained,165,425.368238,19.6,12,18,37,0
498,0,Les Misérables,157,724.2783115,-3.46,12,80,18,36
499,0,Life of Pi,127,507.5138042,5.44,11,12,18,28
500,0,Lincoln,149,423.5283846,-4.83,11,36,18,0
501,0,Silver Linings Playbook,122,1125.773586,3.69,9,18,35,10749
502,0,Zero Dark Thirty,157,332.05179,-4.41,12,53,18,36
503,0,American Hustle,138,627.9295175,-1.34,12,18,80,0
504,0,Captain Phillips,134,172.7272727,-2.52,10,28,18,53
505,0,Dallas Buyers Club,117,1103.9657,-0.721,11,18,36,0
506,0,Gravity,91,682.2787667,7.16,10,878,53,18
507,0,Her,126,205.8750043,5.23,12,10749,878,18
508,0,Nebraska,115,147.1242667,-7.51,9,18,12,0
509,0,Philomena,98,834.4156,-7.47,11,18,0,0
511,0,The Wolf of Wall Street,180,392.000694,13.9,12,80,18,35
512,0,American Sniper,133,922.2915357,4,12,10752,28,0
514,0,Boyhood,165,1108.725,-3.86,6,18,0,0
515,0,The Grand Budapest Hotel,100,582.00106,5.35,2,35,18,0
516,0,The Imitation Game,113,1668.255057,9.47,11,36,18,53
517,0,Selma,127,333.93954,-6.86,12,36,18,0
518,0,The Theory of Everything,123,824.8445867,2.04,11,18,0,0
519,0,Whiplash,107,396.7272727,5.6,10,18,0,0
520,0,The Big Short,131,476.2375214,-0.835,12,35,18,0
521,0,Bridge of Spies,141,413.69587,-1.74,10,53,18,0
522,0,Brooklyn,111,564.3285545,-5.73,10,18,10749,0
523,0,Mad Max: Fury Road,121,252.5722267,15.3,5,28,12,878
524,0,The Martian,141,583.4832315,12.1,9,18,12,878
525,0,The Revenant,157,394.7781504,10.1,12,35,27,0
526,0,Room,117,590.0293,0.485,10,18,53,0
528,0,Arrival,116,432.7408213,8.97,11,53,18,878
529,0,Fences,139,268.3948375,-6.02,12,18,0,0
530,0,Hacksaw Ridge,139,438.255885,2.69,10,18,36,10752
531,0,Hell or High Water,102,313.2441333,-4.75,8,80,18,53
532,0,Hidden Figures,127,922.795164,-0.692,12,18,0,0
533,0,La La Land,129,1484.785667,8.9,11,35,18,10402
534,0,Lion,118,1169.2744,-2.52,11,18,0,0
535,0,Manchester by the Sea,138,833.6329444,-3.56,11,18,0,0
537,0,Call Me by Your Name,132,1026.586875,0,9,10749,18,0
538,0,Darkest Hour,125,491.8947,-4.54,11,0,0,0
539,0,Dunkirk,107,525.573161,11,7,18,10752,0
540,0,Get Out,104,5675.732644,11,2,9648,53,27
541,0,Lady Bird,95,768.58273,-1.29,9,35,18,0
542,0,Phantom Thread,130,136.4474,-7.12,12,18,10749,0
543,0,The Post,116,349.006916,-4.81,12,18,36,0
545,0,"Three Billboards outside Ebbing, Missouri",115,1056.846653,2.45,11,35,80,18
546,0,Black Panther,134,673.3695535,19.7,2,28,12,0
547,0,BlacKkKlansman,135,324.5773667,-2.37,7,80,18,0
548,0,Bohemian Rhapsody,135,1719.283737,11.2,10,18,10402,0
549,0,The Favourite,120,547.4987,-5.13,11,35,18,0
551,0,Roma,135,0,-6.39,8,35,18,0
552,0,A Star Is Born,136,1205.24685,4.75,10,18,0,0
553,0,Vice,132,110.4440017,-7.05,12,28,53,0
554,0,Ford v Ferrari,152,226.232585,-7.88,11,28,18,0
555,0,The Irishman,209,0.382025157,-5.58,11,80,18,0
556,0,Jojo Rabbit,108,589.0621786,-6.92,10,35,18,10752
557,0,Joker,122,1953.002384,10.7,10,35,10769,0
